Stop ID,Stop Code,Stop Name
4050478,5281,Dearborn Dr at Maplewood Dr
4050490,5285,Chapel Hill Rd at Valley Terrace (SB)
4050498,5290,807 Bacon St
4050502,5291,Holloway St at Chester St
4050506,5292,Hillsborough Rd at Cole Mill Rd (WB)
4050510,5296,NC 55 at Cornwallis Rd
4050514,5298,Chapel Hill Rd at University Dr (SB)
4050518,5300,Leon St at Haverford St
4050526,5305,E Main St at Mangum St (WB)
4050530,5306,Morehead Ave at Arnette Ave (WB)
4050534,5307,Shannon Rd at University Dr
4050538,5309,Roxboro Rd at Club Blvd
4050542,5310,Angier Ave at Guthrie Ave (WB)
4050546,5311,Roxboro Rd at Maynard Ave
4050550,5313,Alston Ave at Lawson St
4050554,5314,North Pointe Dr at Broad St
4050558,5315,NC 55 at Carpenter Fletcher Rd (NB)
4050562,5316,Lawson St at Durham Tech
4050570,5319,Old Oxford Rd at Danube Ln
4050574,5320,Gregson St at W Knox St
4050582,5322,Meriwether Dr at E Carver St
4050590,5324,Roxboro St at Dunstan Ave
4050594,5325,Meriwether Dr at Carver Pond Apts
4050598,5326,Chapel Hill St at Arnette Ave (EB)
4050610,5329,Riddle Rd at Briggs Ave
4050618,5331,Dearborn Dr at Old Oxford Rd
4050622,5332,University Dr at Shannon Rd (EB)
4050626,5333,Angier Ave at Jones Cir
4050630,5334,Old Oxford Rd at Danube Ln
4050638,5337,Lakewood Ave at Roxboro St (Heritage Square)
4050642,5340,Morehead Ave at Kent St
4050646,5341,Chapel Hill Rd at University Dr (NB)
4050650,5342,Morehead Ave at Carroll St (WB)
4050654,5344,Chapel Hill Rd at Morehead Ave (NB)
4050658,5345,University Dr at South Square Mall (EB)
4050662,5346,Raynor St at Fidelity Dr (EB)
4050666,5347,E Club Blvd at Stephenson St
4050674,5350,Gary St at Liberty St (NB)
4050686,5354,NC 55 at Odyssey Dr (NB)
4050690,5355,NC 55 at Riddle Rd (SB)
4050694,5357,Fayetteville St at Cecil St (SB)
4050698,5358,Holloway St at Bunn Terrace
4050706,5360,Sima Ave at Dorothy Dr
4050710,5361,Westgate Dr at Target
4050718,5363,NC 54 at Fayetteville Rd (EB)
4050722,5365,Raynor St at Hardee St
4050726,5367,Angier Ave at Clay St
4050730,5368,Meriwether Dr at Carver St
4050734,5370,Dearborn Dr at Martin St
4050738,5371,NC 54 at Boulder Rd (EB)
4050742,5372,NC 54 at Boulder Rd (WB)
4050746,5377,Roxboro Rd at Monk Rd
4050750,5378,Avondale Dr at Alcott St
4050754,5379,University Dr at Colonial Apts
4050770,5387,Cornwallis Rd at Yorktown Ave (NB)
4050786,5394,Chapel Hill Rd at Palmer St
4050794,5396,Fayetteville St at Red Oak Ave (NB)
4050798,5397,Fayetteville St at Dunbar St
4050802,5398,Constitution Dr at Forest Apts
4050806,5399,Club Blvd at Duke St
4050810,5400,Roxboro Rd at Channing Ave
4050814,5401,Sima Ave at Lawson St
4050818,5403,E Carver St at Patrick Henry Dr
4050822,5404,E Main St at S Hyde Park Ave (WB)
4050830,5407,Tom Wilkinson Rd at Northern High (Across)
4050834,5409,Clayton Rd at Chandler Rd
4050838,5412,Hinson Dr at Waring St
4050842,5415,Duke St at North Duke Crossing
4050846,5416,Glenbrook Dr at Dubonnet Pl (NB)
4050854,5419,Holloway St at Chandler Rd
4050858,5420,E Main St at Corcoran St (Westbound)
4050862,5423,Enterprise St at Roxboro St (EB)
4050866,5424,S Roxboro St at Bond St
4050874,5429,Hillsborough Rd at US 15-501 SB (Wendy's)
4050878,5430,Riddle Rd at Kirby St (SB)
4050886,5433,Main St at Morgan St (WB)
4050890,5434,Milton Rd at Long Cresent Dr
4050894,5435,NC 55 at Alston Ave (NCCU)
4050898,5436,Meriwether Dr at Pickwick Tr
4050906,5438,Duke St at Corporation St
4050910,5439,Gregson St at Lamond Ave
4050914,5441,NC 54 at Waterford Valley Dr (WB)
4050922,5444,Dowd St at Roxboro Rd
4050926,5445,Raynor St at The Village
4050930,5446,Guess Rd at Ellen St
4050934,5447,Chapel Hill Rd at Dean St
4050938,5448,Hillsborough Rd at Neal Rd (EB)
4050946,5450,Meriwether Dr at Oxford Ct
4050950,5451,Olympic Ave at Roxboro Rd
4050958,5453,Cornwallis Rd at Atlantic St
4050966,5456,Shannon Rd at Windsor Apts
4050986,5463,Fayetteville Rd at Obie Dr (SB)
4050990,5464,Morehead Ave at Vickers Ave (EB)
4050998,5466,Roxboro Rd at Argonne Dr
4051002,5467,Front St at Croasdaile Office Park
4051010,5470,Raynor St at Fidelity Dr (WB)
4051018,5472,416 Old Oxford Rd
4051026,5475,Club Blvd at Stephenson St
4051030,5476,Enterprise St at S Roxboro St (WB)
4051034,5477,Ross Rd at Charlestowne Apts
4051038,5478,E Club Blvd at Miriam Cir
4051042,5479,Cornwallis Rd at Weaver St
4051050,5481,Roxboro Rd at Davidson Ave
4051054,5482,Roxboro Rd at Lynch St
4051066,5489,Dearborn Dr at Wiley Ave
4051070,5490,Chapel Hill Rd at Ward St
4051074,5492,Dearborn Dr at Cannada Ave
4051078,5493,Tower Blvd at McDonalds
4051086,5496,Dearborn Dr at Maplewood Dr (north)
4051090,5497,Roxboro St at Erie St (CC Spaulding Elementary)
4051094,5498,Holloway St at Guthrie Ave
4051098,5499,Meriwether Dr at Pickwick Tr
4051102,5501,Chapel Hill Rd at Chapel Ridge Apt
4051106,5503,North Pointe Dr at Red Roof Inn (Inbound)
4051110,5505,Holloway St at Alston Ave
4051114,5506,Lawson St at Durham Tech Library
4051118,5507,Chapel Hill St at Gregson St
4051122,5508,Chapel Hill Rd at Morehead Ave (SB)
4051126,5509,Old Farm Rd at Seven Oaks Rd
4051130,5510,Roxboro Rd at Club Blvd
4051134,5511,Hillsborough Rd at US 15-501 SB (Krispy Kreme)
4051138,5512,Alston Ave at Cecil St (NCCU)
4051142,5513,Roxboro Rd at Horton Rd
4051150,5516,Duke St at Carver St
4051158,5518,Fayetteville St at Pekoe St
4051162,5519,University Dr at Forest Hills Shops (NB)
4051170,5522,Dearborn Dr at Disciples Church
4051174,5523,Miami Blvd at Greenbriar St
4051178,5524,Mangum St at Trinity Ave
4051182,5525,Hinson Dr at Davinci St
4051194,5528,MLK Pkwy at Fayetteville Rd (EB)
4051202,5530,Cornwallis Rd at Century Oaks Dr (NB)
4051210,5532,S Alston Ave at Dupree St (NB)
4051214,5533,University Dr at Old Chapel Hill Rd
4051222,5537,Buchanan Blvd at Markham Ave (SB)
4051234,5540,Chapel Hill Rd at Pickett Rd (SB)
4051242,5543,Guess Rd at Lombard Ave
4051246,5544,Fayetteville St at Homeland Ave (SB)
4051258,5547,Sima Ave at Bacon St
4051262,5549,Fayetteville St at Linwood Ave
4051266,5550,Hardee St at Delano St
4051270,5552,NC 55 at Meridian Pkwy (SB)
4051274,5553,Milton Rd at Eno Valley Elementary (NB)
4051286,5557,Morreene Rd at Andrews Rd
4051294,5559,Willard St at Blackwell St (American Tobacco Campus)
4051298,5561,Leon St at Lednum St
4051302,5563,Duke St at Fairfield St
4051310,5565,Fayetteville St at Utah Ave (NB)
4051314,5567,Fayetteville Rd at Juliette Dr (SB)
4051318,5568,Meriwether Dr at Old Oxford Rd
4051326,5570,Garrett Rd at Millennium Dr
4051330,5572,Cornwallis Rd at Bainbridge Dr (SB)
4051334,5573,Holloway St at Elizabeth St
4051338,5574,Durham-Chapel Hill Blvd at Legion Ave
4051342,5575,Roxboro St at Charles St
4051346,5578,Fayetteville St at Simmons St
4051350,5579,North Pointe Dr at Kroger
4051354,5580,Fayetteville St at Burlington Ave (SB)
4051358,5581,E Club Blvd at Lindbergh St
4051362,5582,Angier Ave at East End Ave
4051370,5584,Hardee St at Fiske St
4051382,5590,Hillandale Rd at Croasdaile Crossing
4051386,5591,Roxboro St at The Life Center of Durham
4051390,5593,Lednum St at Murray Ave
4051398,5595,Duke St at Markham Ave
4051402,5596,Foushee St at Avondale Dr
4051410,5598,Fayetteville Rd at Geneva Dr (SB)
4051414,5599,Riddle Rd at Fayetteville Rd
4051418,5600,E Carver St at Commons Blvd
4051422,5601,Cornwallis Rd at Industry Ln (NB)
4051426,5602,E Main St at S Goley St
4051430,5603,Hardee St at Landon St
4051446,5608,S Hyde Park Ave at Lyons Club
4051462,5612,Chapel Hill St at Gregson St (EB)
4051466,5613,University Dr at Old Chapel Hill Rd (WB)
4051470,5615,Gary St at Liberty St (SB)
4051474,5616,Cornwallis Rd at Yorktown Ave (SB)
4051478,5618,Holloway St at Joyland Ave
4051482,5621,Front St at Courtyard Marriott
4051486,5622,Glenbrook Dr at Club Blvd
4051498,5625,Sparger Rd at Hillsborough Rd (Food Lion)
4051502,5626,New Castle Rd at FoxFire Mailboxes
4051506,5627,Holloway St at Spruce St
4051510,5630,Hinson Dr at Glenbrook Dr (SB)
4051514,5632,Green St at Lancaster St (EB)
4051518,5633,Fayetteville Rd at Sutton Square
4051526,5634,Roxboro Rd at St Paul St
4051538,5639,Main St at Morgan St (EB)
4051542,5642,Guess Rd at Lombard Ave
4051550,5645,Club Blvd at Midland Terrace
4051554,5646,Roxboro Rd at Davison Ave
4051558,5647,Angier Ave at Bingham St (WB)
4051566,5649,Tower Blvd at McDonalds
4051570,5650,Durham-Chapel Hill Blvd at Hope Valley Rd (WB)
4051582,5653,Fayetteville Rd at Riddle Rd
4051586,5654,Horton Rd at Roxboro Rd
4051594,5658,Durham-Chapel Hill Blvd at James St
4051598,5659,Pickett Rd at Structure House Dr
4051602,5661,Holloway St at N Driver St
4051606,5662,Roxboro Rd at Lavender Ave
4051610,5663,New Hope Commons
4051614,5664,Dearborn Dr at Thelma St (north)
4051618,5665,E Main St at Elm St (WB)
4051626,5671,Holloway St at Elm St
4051630,5672,Fayetteville St at Timothy Ave
4051634,5674,University Dr at Springfield Apts
4051638,5675,Otis St at Alton St
4051642,5677,Broad St at Guess Rd
4051646,5678,Morehead Ave at Cornell St
4051650,5679,Crutchfield St at Crabtree Ave
4051658,5682,Hillsborough Rd at Ample Storage
4051666,5686,Fayetteville Rd at Cook Rd (NB)
4051674,5689,Roxboro St at Umstead St (NB)
4051678,5690,NC 54 at NC 55 (Walgreens)
4051682,5693,Bedford St at Balmoray Ct
4051686,5695,Hillandale Rd at Croasdaile Office
4051690,5700,Roxboro St at Summit St
4051694,5701,Fayetteville St at Price Ave
4051698,5702,Roxboro Rd at E Knox St
4051702,5703,Guess Rd at Carver St
4051706,5704,Guess Rd at Duke Homestead
4051714,5706,Roxboro St at Masondale Ave
4051722,5708,Angier Ave at Hoover Rd
4051726,5709,Roxboro Rd at Markham Ave
4051730,5710,Angier Ave at Carter Ave
4051734,5711,Alston Ave at Lee St
4051738,5713,Rummel St at Walton St
4051758,5720,Junction Rd at NC 98
4051762,5721,Chapel Hill Rd at Vineyard St (NB)
4051766,5722,Carver St at Carver Creek Apts
4051774,5724,Page Rd at Angier Ave
4051782,5728,Fayetteville Rd at United Dr
4051790,5730,Chapel Hill Rd at Lakewood YMCA
4051798,5733,Lawson St at Wabash St (westbound)
4051806,5735,Holloway St at S Woodcrest St
4051810,5738,Lawson St at Alston Ave (eastbound)
4051814,5740,Chandler Rd at Chance Dr
4051818,5741,E Main St at Roxboro St (WB)
4051822,5742,Mangum St at Parrish St
4051830,5744,Holloway St at Brye St
4051834,5746,Roxboro St at Normandy St
4051846,5749,E Weaver St at Pilot St
4051854,5753,S Roxboro St at Lawson St (SB)
4051858,5754,Chapel Hill Rd at Jersey Ave (Lakewood Shopping Center)
4051866,5756,Lakewood Ave at S Mangum St (EB)
4051882,5764,Dearborn Dr at Forrester St
4051894,5767,NC 55 at Cherry Dr
4051898,5768,NC 55 at Gaston Ave (NB)
4051902,5769,Lawson St at Wabash St
4051914,5773,Lawson St at Durham Tech
4051918,5774,Durham Station
4051926,5776,NC 54 at Paradigm Park
4051934,5779,Capps St at Athens St
4051938,5780,E Main St at Driver St (EB)
4051942,5781,W Enterprise St at Fargo St
4051946,5782,Woodcroft Pkwy at Autumn Woods
4051950,5785,Buchanan Blvd at Gloria Ave (SB)
4051958,5787,Roxboro Rd at Argonne Dr (SB)
4051962,5790,Rummel St at Wedgedale Ave
4051966,5792,Lawson St at Rosewood St
4051970,5793,Fayetteville Rd at Crooked Creek Pk
4051974,5794,Alston Ave at Lee St
4051978,5795,Hinson St at DeMille St
4051982,5796,MLK Pkwy at Lake Cook Dr (EB)
4051986,5797,Mineral Springs Rd at Sapphire St
4051990,5798,Durham-Chapel Hill Blvd at Garrett Rd
4051994,5800,Roxboro Rd at Fairfield St
4052006,5803,Milton Rd at Fire Department
4052010,5804,US 70 at Angier Ave
4052014,5805,Fayetteville St at Red Oak Ave (SB)
4052018,5806,Murray Ave at Broad St
4052022,5809,Hillsborough Rd at Self Storage
4052026,5811,Service Rd at Davidson Ave
4052034,5816,Fayetteville St at Dunstan St
4052038,5818,Holloway St at Hoover Rd
4052042,5819,E Main St at Oldham Towers
4052046,5820,Cornwallis Rd at Century Oaks Dr (SB)
4052050,5821,Holloway St at Briggs Ave
4052054,5822,NC 55 at NC 54
4052058,5823,University Dr at Academy Rd (WB)
4052062,5824,Lawson St at Concord St (EB)
4052070,5826,Roxboro Rd at Ellerbe St
4052074,5827,Angier Ave at Hoover Rd
4052078,5829,Fayetteville St at Pilot St (SB)
4052086,5832,Dearborn Dr at Apollo St
4052090,5833,Dearborn Dr at Lakeview School
4052098,5836,Dearborn Dr at Maplewood Dr (south)
4052102,5837,Roxboro Rd at Infinity Rd
4052106,5838,Cornwallis Rd at Jan Ct (NB)
4052110,5841,Fayetteville St at Cornwallis Rd (SB)
4052114,5842,University Dr at Dixon Rd
4052118,5843,Concord St at Otis St
4052126,5845,Hillandale Rd at Durham Public Schools
4052130,5846,Chapel Hill Rd at Vineyard St (SB)
4052134,5847,Pickett Rd at Coachmans Way
4052142,5849,Dearborn Dr at Thelma St
4052146,5850,2435 Glenbrook Dr
4052150,5851,Lawson St at Ridgeway Ave
4052158,5854,Fayetteville Rd at Brian Center (SB)
4052166,5857,Riddle Rd at Triangle Day Care (NB)
4052170,5858,Chapel Hill Rd at Wa Wa Ave
4052174,5859,MLK Pkwy at Lake Cook Dr (WB)
4052178,5860,Roxboro Rd at Channing Ave
4052182,5861,Front St at Carver Terrace Apts
4052186,5862,Cornwallis Rd at Bainbridge Dr (NB)
4052194,5864,University Dr at Forest Hills Shops (SB)
4052198,5865,Chapel Hill Rd at McGehee St
4052202,5866,Hinson Dr at Glenbrook Dr (NB)
4052206,5867,Fayetteville St at Utah Ave (SB)
4052210,5868,Club Blvd at Cascadilla St
4052218,5870,Holloway St at Herbert St
4052222,5871,Tower Blvd at Conifer Glen Ln
4052226,5874,Hillsborough Rd at Hilton Durham (EB)
4052230,5876,Ross Rd at Melbourne St
4052234,5877,S Roxboro St at Umstead St (SB)
4052238,5880,Club Blvd at Glenbrook Dr
4052242,5881,NC 54 at Fayetteville Rd (Homestead Market)
4052246,5882,Holloway St at Adams St
4052250,5883,Mangum St at W Seminary Ave
4052258,5887,Holloway St at Rochelle St
4052274,5892,Sima Ave at Building 18
4052290,5896,Roxboro Rd at Old Oxford Rd
4052294,5897,Club Blvd at Dollar Ave
4052298,5898,Holloway St at N Driver St
4052302,5899,Briggs Ave at Person St
4052314,5904,Chapel Hill Rd at Anderson St
4052318,5906,Garrett Rd at Eno River Church
4052322,5907,Fayetteville St at Old Fayetteville
4052326,5908,Chapel Hill Rd at House St
4052330,5909,Chapel Hill Rd at Colonial Apts (SB)
4052334,5910,Angier Ave at Ellis Rd
4052338,5911,Fayetteville Rd at Obie Dr (NB)
4052346,5914,Morehead Ave at Carroll St (EB)
4052350,5915,Hillsborough Rd at Operations Dr (WB)
4052362,5918,University Dr at Academy Rd (EB)
4052370,5920,Hardee St at Mimosa St
4052374,5921,Holloway St at Southerland St
4052378,5922,Main St at S Blacknall St
4052386,5928,James St at Nation Ave
4052390,5929,Briggs Ave at Community Garden
4052394,5930,Broad St at Sprunt St
4052398,5931,Fayetteville St at Brant St (NCCU)
4052402,5932,Chalk Level Rd at Horton Rd (Eastbound)
4052406,5933,Riddle Rd at Triangle Day Care (SB)
4052410,5934,Duke St at Jackson St
4052422,5938,S Roxboro St at Erie St (SB)
4052426,5939,Otis St at Nelson St
4052430,5940,Hardee St at Benning St
4052438,5942,Roxboro St at Mallard Ave
4052442,5943,University Dr at Weymouth St (EB)
4052446,5944,Freeman Rd at Southern High Fields
4052450,5945,Roxboro Rd at Berwyn Ave
4052454,5946,Cornwallis Rd at Rogers Herr School (EB)
4052458,5947,E Weaver St at Cornwallis Rd
4052462,5948,Enterprise St at Scout Dr
4052466,5949,Dearborn Dr at Deer Run
4052474,5951,Buchanan Blvd at Markham Ave (NB)
4052478,5952,Chapel Hill St at Police Station
4052486,5954,Dowd St at Hazel St
4052494,5956,The Streets at Southpoint Mall
4052510,5960,Gary St at Holloway St
4052518,5962,Buchanan Blvd at Trinity Ave (SB)
4052526,5964,Roxboro Rd at Maynard Ave
4052534,5966,Chapel Hill Rd at Vesson Ave
4052542,5968,Glenbrook Dr at Club Blvd
4052550,5970,Fayetteville Rd at Cook Rd (SB)
4052554,5971,University Dr at Myra St
4052558,5972,Carver St at Charlotte St
4052562,5973,NC 55 at Meridian Pkwy (NB)
4052566,5974,Buchanan Blvd at Gloria Ave (NB)
4052574,5977,Miami Blvd at Robinhood Rd
4052578,5979,Emerald Pond Ln at Pickett Rd
4052582,5980,University Dr at Lyckan Pkwy
4052586,5981,Alston Ave at Geer St
4052594,5983,Duke St at Kinder Care
4052598,5984,NC 55 at Dakota St (NB)
4052602,5985,Mangum St at Markham Ave
4052610,5987,Otis St at Cecil St
4052614,5988,Roxboro St at Gray St
4052618,5989,Avondale Dr at Trinity Ave
4052622,5990,Durham-Chapel Hill Blvd at Hope Valley Rd (EB)
4052626,5991,Lynn Rd at Holloway St
4052630,5992,E Club Blvd at Cascadilla St
4052634,5993,Duke St at Trinity Ave
4052642,5996,Meriwether Dr at Old Oxford Rd
4052646,5997,Hillsborough Rd at Hilton Durham (WB)
4052654,5999,Chapel Hill Rd at W Cornwallis Rd (NB)
4052658,6000,NC 54 at Pine Glen Trail (WB)
4052662,6002,208 Lynn Rd
4052666,6003,Roxboro Rd at Bon Air Ave
4052670,6004,NC 55 at Crete St
4052674,6005,Ben Franklin Blvd at Danube Ln
4052678,6006,Buchanan Blvd at Green St
4052686,6008,Angier Ave at Beldon Dr
4052702,6014,Roxboro St at Holloway St
4052706,6016,Lawson St at Bacon St
4052718,6020,Otis St at Pilot St
4052722,6023,Fayetteville St at Lawson St (NCCU)
4052734,6026,Cornwallis Rd at Beechwood Ave
4052746,6031,Dowd St at Alston Ave
4052750,6032,Fayetteville St at Cecil St (NB)
4052758,6036,University Dr at MLK Pkwy
4052762,6039,Main St at S Goley St
4052770,6042,American Dr at White Pine Dr
4052782,6047,Green St at Buchanan Blvd
4052786,6048,Dearborn Dr at Ora St
4052794,6050,Pickett Rd at Colony Rd
4052802,6052,Lawson St at Ridgeway Ave
4052806,6053,Lawson St at Briggs Ave
4052810,6054,Cornwallis Rd at Spring Ridge Apts (NB)
4052818,6057,Chapel Hill Rd at Huron St
4052822,6058,Lawson St at Durham Exchange Club Industries
4052826,6059,Chapel Hill Rd at Chesterfield Apts
4052830,6060,Bennett Memorial Rd at Gentry Dr (WB)
4052834,6061,Ross Rd at Fernando St
